Phase,Durée Phase,Semaine,Période,Tâche Principale,Sous-tâche,Priorité,Équipe Assignée
"Phase 1: Préparation et Architecture","Semaine 1-2 (3-16 Février)","Semaine 2 (10-16 Février)","10-16 Février","Refactoring Backend - Principes SOLID","Création des API Resources","Critique","Équipe Backend"
"Phase 1: Préparation et Architecture","Semaine 1-2 (3-16 Février)","Semaine 2 (10-16 Février)","10-16 Février","Structure TypeScript et Types","Définition des types User, Student, Payment","Haute","Équipe Frontend"
"Phase 1: Préparation et Architecture","Semaine 1-2 (3-16 Février)","Semaine 2 (10-16 Février)","10-16 Février","Structure TypeScript et Types","Types pour les 14 catégories de notes","Haute","Équipe Frontend"
"Phase 1: Préparation et Architecture","Semaine 1-2 (3-16 Février)","Semaine 2 (10-16 Février)","10-16 Février","Structure TypeScript et Types","Interfaces pour Balance, ClassInfo, Session","Haute","Équipe Frontend"
"Phase 1: Préparation et Architecture","Semaine 1-2 (3-16 Février)","Semaine 2 (10-16 Février)","10-16 Février","Structure TypeScript et Types","Types pour les 3 méthodes de paiement","Haute","Équipe Frontend"
"Phase 1: Préparation et Architecture","Semaine 1-2 (3-16 Février)","Semaine 2 (10-16 Février)","10-16 Février","Structure TypeScript et Types","Énumérations (PaymentMethod, PaymentType)","Haute","Équipe Frontend"
"Phase 1: Préparation et Architecture","Semaine 1-2 (3-16 Février)","Semaine 2 (10-16 Février)","10-16 Février","Structure TypeScript et Types","Types pour les formulaires et validation","Haute","Équipe Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Backend - Services de Paiement","SycapayPaymentService (Wave, Mobile Money, Visa)","Critique","Lead Backend Payment"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Backend - Services de Paiement","Calcul automatique des frais (2.5% Wave/MM, 4.2% Visa)","Critique","Lead Backend Payment"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Backend - Services de Paiement","Gestion des tokens SYCAPAY","Critique","Lead Backend Payment"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Backend - Services de Paiement","Détection automatique opérateurs (MOOV, MTN, Orange)","Critique","Lead Backend Payment"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Backend - Services de Paiement","Validation OTP pour Orange Money","Critique","Lead Backend Payment"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Backend - Services de Paiement","Système de notifications (Email, SMS, WhatsApp)","Critique","Lead Backend Payment"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Backend - Services de Paiement","Gestion du callback et webhook SYCAPAY","Critique","Lead Backend Payment"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Frontend - Formulaire de Paiement","PaymentForm avec React Hook Form","Critique","Lead Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Frontend - Formulaire de Paiement","Validation en temps réel (Yup schema)","Critique","Lead Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Frontend - Formulaire de Paiement","Calcul dynamique des frais","Critique","Lead Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Frontend - Formulaire de Paiement","Champ OTP conditionnel (Orange)","Critique","Lead Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Frontend - Formulaire de Paiement","Gestion des états de chargement","Critique","Lead Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Frontend - Formulaire de Paiement","Affichage des erreurs utilisateur","Critique","Lead Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 3 (17-23 Février)","17-23 Février","Frontend - Formulaire de Paiement","Intégration Wave URL redirect","Critique","Lead Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Calcul de Solde et Scolarité","Algorithme calcul scolarité (calling_code + école)","Haute","Équipe Backend + Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Calcul de Solde et Scolarité","Calcul reste à payer (75k-100k FCFA selon profil)","Haute","Équipe Backend + Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Calcul de Solde et Scolarité","Agrégation des versements par session","Haute","Équipe Backend + Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Calcul de Solde et Scolarité","Historique des paiements (Offrande + Scolarité)","Haute","Équipe Backend + Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Calcul de Solde et Scolarité","Cache Redis pour les soldes (TTL 5min)","Haute","Équipe Backend + Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Calcul de Solde et Scolarité","API endpoints balance calculation","Haute","Équipe Backend + Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Calcul de Solde et Scolarité","BalanceCard component React","Haute","Équipe Backend + Frontend"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Tests Paiement","Tests unitaires services paiement","Critique","Équipe QA"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Tests Paiement","Tests intégration SYCAPAY","Critique","Équipe QA"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Tests Paiement","Tests formulaire React (Jest + RTL)","Critique","Équipe QA"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Tests Paiement","Tests calcul frais automatiques","Critique","Équipe QA"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Tests Paiement","Tests validation OTP","Critique","Équipe QA"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Tests Paiement","Tests webhook callback","Critique","Équipe QA"
"Phase 2: Système de Paiement SYCAPAY","Semaine 3-4 (17 Février - 2 Mars)","Semaine 4 (24 Février - 2 Mars)","24 Février - 2 Mars","Tests Paiement","Tests end-to-end Cypress","Critique","Équipe QA"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Système de Notes et Évaluations","Backend: GradeService pour 14 types de notes","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Système de Notes et Évaluations","Calcul moyennes pondérées (coefficients 1-3)","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Système de Notes et Évaluations","Moyenne académique vs Moyenne Obédédom","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Système de Notes et Évaluations","API pour création/modification notes","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Système de Notes et Évaluations","GradeForm React avec validation","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Système de Notes et Évaluations","Tableau des notes avec tri/filtres","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Système de Notes et Évaluations","Export Excel des notes (Maatwebsite)","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Système de Notes et Évaluations","Import Excel massif des résultats","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Cours et Modules","CRUD Cours académiques","Moyenne","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Cours et Modules","Association Campus/Écoles/Sessions","Moyenne","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Cours et Modules","Gestion médias (vidéos, documents)","Moyenne","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Cours et Modules","Système de commentaires cours","Moyenne","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Cours et Modules","CourseCard component React","Moyenne","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Cours et Modules","Module player vidéo intégré","Moyenne","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 5 (3-9 Mars)","3-9 Mars","Cours et Modules","Suivi progression étudiant","Moyenne","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Évaluations et Exercices","QuestionService (QCM + Textuels)","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Évaluations et Exercices","Notation automatique QCM","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Évaluations et Exercices","Timer pour devoirs chronométrés","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Évaluations et Exercices","AssignmentForm React","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Évaluations et Exercices","Quiz interface interactive","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Évaluations et Exercices","Correction et feedback immédiat","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Évaluations et Exercices","Statistiques de performance","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Résultats et Bulletins","Calcul résultats finaux par session","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Résultats et Bulletins","Système de classement étudiant","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Résultats et Bulletins","Génération PDF bulletins (DomPDF)","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Résultats et Bulletins","BulletinCard component React","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Résultats et Bulletins","Export Excel résultats complets","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Résultats et Bulletins","Graphiques de progression (Recharts)","Haute","Équipe Academic"
"Phase 3: Gestion Académique","Semaine 5-6 (3-16 Mars)","Semaine 6 (10-16 Mars)","10-16 Mars","Résultats et Bulletins","Notification résultats (Email + SMS)","Haute","Équipe Academic"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Profils Étudiants","StudentProfileService complet","Haute","Équipe Student Management"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Profils Étudiants","CRUD informations personnelles","Haute","Équipe Student Management"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Profils Étudiants","Gestion photos profil","Haute","Équipe Student Management"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Profils Étudiants","Données spirituelles + professionnelles","Haute","Équipe Student Management"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Profils Étudiants","Situation matrimoniale/familiale","Haute","Équipe Student Management"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Profils Étudiants","StudentProfileForm React","Haute","Équipe Student Management"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Profils Étudiants","Avatar upload avec preview","Haute","Équipe Student Management"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Profils Étudiants","Validation formulaires multi-étapes","Haute","Équipe Student Management"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Gestion Spirituelle","SpiritualTrackingService","Moyenne","Équipe Spiritual"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Gestion Spirituelle","Suivi vie de prière quotidienne","Moyenne","Équipe Spiritual"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Gestion Spirituelle","Méditations bibliques CRUD","Moyenne","Équipe Spiritual"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Gestion Spirituelle","Vertumètre (évaluation vertus)","Moyenne","Équipe Spiritual"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Gestion Spirituelle","Facétomètre (caractère multidimensionnel)","Moyenne","Équipe Spiritual"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Gestion Spirituelle","Fiches de pensée personnelles","Moyenne","Équipe Spiritual"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Gestion Spirituelle","PrayerTrackerCard React","Moyenne","Équipe Spiritual"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Gestion Spirituelle","MeditationCard avec lecture audio","Moyenne","Équipe Spiritual"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Authentification et Permissions","Laravel Sanctum configuration","Critique","Équipe Security"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Authentification et Permissions","Niveaux utilisateurs (1-9)","Critique","Équipe Security"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Authentification et Permissions","Génération matricules (TMP + 6 chars)","Critique","Équipe Security"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Authentification et Permissions","OAuth Google + Facebook","Critique","Équipe Security"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Authentification et Permissions","Récupération mot de passe","Critique","Équipe Security"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Authentification et Permissions","AuthContext React + Zustand","Critique","Équipe Security"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Authentification et Permissions","Protected routes Inertia","Critique","Équipe Security"
"Phase 4: Gestion Étudiants et Spiritualité","Semaine 7 (17-23 Mars)","Semaine 7 (17-23 Mars)","17-23 Mars","Authentification et Permissions","Middleware permissions","Critique","Équipe Security"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Système Administratif","Gestion permissions/absences","Haute","Équipe Admin"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Système Administratif","Validation demandes permission","Haute","Équipe Admin"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Système Administratif","Système de pointage","Haute","Équipe Admin"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Système Administratif","Suivi présences aux cours","Haute","Équipe Admin"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Système Administratif","Calendrier sessions académiques","Haute","Équipe Admin"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Système Administratif","AdminDashboard React","Haute","Équipe Admin"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Système Administratif","Rapports de présence","Haute","Équipe Admin"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Système Administratif","Export Excel permissions","Haute","Équipe Admin"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Export et Import Excel","Export étudiants avec filtres avancés","Moyenne","Équipe Data"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Export et Import Excel","Export notes et résultats","Moyenne","Équipe Data"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Export et Import Excel","Export versements et paiements","Moyenne","Équipe Data"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Export et Import Excel","Import massif notes Excel","Moyenne","Équipe Data"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Export et Import Excel","Import données étudiants","Moyenne","Équipe Data"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Export et Import Excel","Filtres (école, campus, classe, session)","Moyenne","Équipe Data"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Export et Import Excel","ExportButton component React","Moyenne","Équipe Data"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Export et Import Excel","Progress bar upload/download","Moyenne","Équipe Data"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Notifications Multi-canal","Email service (Laravel Mail)","Moyenne","Équipe Communication"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Notifications Multi-canal","SMS service (Letexto/Aroli)","Moyenne","Équipe Communication"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Notifications Multi-canal","WhatsApp service (Interakt)","Moyenne","Équipe Communication"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Notifications Multi-canal","Templates notifications","Moyenne","Équipe Communication"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Notifications Multi-canal","Queue système pour emails","Moyenne","Équipe Communication"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Notifications Multi-canal","NotificationCenter React","Moyenne","Équipe Communication"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Notifications Multi-canal","Préférences notifications utilisateur","Moyenne","Équipe Communication"
"Phase 5: Administration et Rapports","Semaine 8 (24-30 Mars)","Semaine 8 (24-30 Mars)","24-30 Mars","Notifications Multi-canal","Logs notifications envoyées","Moyenne","Équipe Communication"
"Phase 6: Optimisation et Tests","Semaine 9-10 (31 Mars - 6 Avril)","Semaine 9 (31 Mars - 6 Avril)","31 Mars - 6 Avril","Optimisation Performance","Cache Redis pour queries fréquentes","Haute","Équipe Performance"
"Phase 6: Optimisation et Tests","Semaine 9-10 (31 Mars - 6 Avril)","Semaine 9 (31 Mars - 6 Avril)","31 Mars - 6 Avril","Optimisation Performance","Lazy loading composants React","Haute","Équipe Performance"
"Phase 6: Optimisation et Tests","Semaine 9-10 (31 Mars - 6 Avril)","Semaine 9 (31 Mars - 6 Avril)","31 Mars - 6 Avril","Optimisation Performance","Code splitting Vite","Haute","Équipe Performance"
"Phase 6: Optimisation et Tests","Semaine 9-10 (31 Mars - 6 Avril)","Semaine 9 (31 Mars - 6 Avril)","31 Mars - 6 Avril","Optimisation Performance","Virtualisation tables longues (react-window)","Haute","Équipe Performance"
